Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country,Sport,Event,GDP_Per_Capita_Constant_LCU_Value,Cereal_yield_kg_per_hectare_Value,Military_expenditure_current_LCU_Value,Tax_revenue_current_LCU_Value,Expense_current_LCU_Value,Central_government_debt_total_current_LCU_Value,Representing_Host,Avg_Temp,Medal,Medal_Binary
A Dijiang,M,24,180,80,China,1992,Summer,Barcelona,Spain,Basketball,Basketball Men's Basketball,6875.676999,4362.3,68492867000,1.60518E+12,7.16117E+12,4.39698E+12,0,6.95,0,0
A Lamusi,M,23,170,60,China,2012,Summer,London,United Kingdom,Judo,Judo Men's Extra-Lightweight,41274.12736,5825.2,9.935E+11,5.52409E+12,7.16117E+12,3.97413E+13,0,6.95,0,0
Christine Jacoba Aaftink,F,21,185,82,Netherlands,1988,Winter,Calgary,Canada,Speed Skating,Speed Skating Women's 500 metres,24946.56591,6194,6035300000,53110436491,1.1251E+11,1.44152E+11,0,9.25,0,0
Christine Jacoba Aaftink,F,21,185,82,Netherlands,1988,Winter,Calgary,Canada,Speed Skating,"Speed Skating Women's 1,000 metres",24946.56591,6194,6035300000,53110436491,1.1251E+11,1.44152E+11,0,9.25,0,0
Christine Jacoba Aaftink,F,25,185,82,Netherlands,1992,Winter,Albertville,France,Speed Skating,Speed Skating Women's 500 metres,27485.5034,7459.2,6307500000,68461821202,1.33842E+11,1.62458E+11,0,9.25,0,0
Christine Jacoba Aaftink,F,25,185,82,Netherlands,1992,Winter,Albertville,France,Speed Skating,"Speed Skating Women's 1,000 metres",27485.5034,7459.2,6307500000,68461821202,1.33842E+11,1.62458E+11,0,9.25,0,0
Christine Jacoba Aaftink,F,27,185,82,Netherlands,1994,Winter,Lillehammer,Norway,Speed Skating,Speed Skating Women's 500 metres,28285.16642,7164.5,5894600000,68407367576,1.42464E+11,1.70009E+11,0,9.25,0,0
Christine Jacoba Aaftink,F,27,185,82,Netherlands,1994,Winter,Lillehammer,Norway,Speed Skating,"Speed Skating Women's 1,000 metres",28285.16642,7164.5,5894600000,68407367576,1.42464E+11,1.70009E+11,0,9.25,0,0
Per Knut Aaland,M,31,188,75,United States,1992,Winter,Albertville,France,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,36566.17377,5357.7,3.05141E+11,6.51E+11,1.42263E+12,3.00262E+12,0,8.55,0,0
Per Knut Aaland,M,31,188,75,United States,1992,Winter,Albertville,France,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,36566.17377,5357.7,3.05141E+11,6.51E+11,1.42263E+12,3.00262E+12,0,8.55,0,0
